OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
1,Wise,OH,6.25,Wood,100.00,5.15,4.75,515.0000,475.0000,61.87500000,1051.87500000
2,Clay,OH,6.25,Wood,100.00,5.15,4.75,515.0000,475.0000,61.87500000,1051.87500000
3,Clay,OH,6.25,Wood,100.00,5.15,4.75,515.0000,475.0000,61.87500000,1051.87500000
4,Clay,OH,6.25,Wood,100.00,5.15,4.75,515.0000,475.0000,61.87500000,1051.87500000
5,Clay,OH,6.25,Wood,100.00,5.15,4.75,515.0000,475.0000,61.87500000,1051.87500000
6,Clay,OH,6.25,Wood,100.00,5.15,4.75,515.0000,475.0000,61.87500000,1051.87500000
7,Clay,OH,6.25,Wood,100.00,5.15,4.75,515.0000,475.0000,61.87500000,1051.87500000
8,Clay,OH,6.25,Wood,100.00,5.15,4.75,515.0000,475.0000,61.87500000,1051.87500000
9,Clay,OH,6.25,Wood,100.00,5.15,4.75,515.0000,475.0000,61.87500000,1051.87500000
10,Clay,OH,6.25,Wood,100.00,5.15,4.75,515.0000,475.0000,61.87500000,1051.87500000
